No.,区分,モニタリング手法,概要
1,共通,目視観察・定点撮影調査,⽬視観察と写真撮影で、場所の形状や植⽣の変化を把握
2,共通,衛星画像・航空写真を用いた調査,衛星画像・航空写真で、場所の形状や植⽣の変化を把握
3,哺乳類,自動撮影カメラ法,昼夜問わず哺乳類を⾃動撮影
4,哺乳類,直接観察・フィールドサインの確認,歩きながら哺乳類やその痕跡を確認
5,哺乳類,ライトセンサス法,周辺をライトで照らし、光ったシカ等の⽬を確認
6,哺乳類,トラップ法,罠で⼩型哺乳類を捕獲
7,鳥類,ラインセンサス法（ルートセンサス法）,歩きながら⿃類を確認
8,鳥類,スポットセンサス法（定点センサス法）,定点から⿃類を確認
9,鳥類,鳴き声の録音調査,鳴き声を録⾳して確認し、⿃類の種類を確認
10,鳥類,定点カメラ調査,定点カメラにより⿃類を確認
11,鳥類,ドローン撮影調査,ドローンで⿃類を確認
12,昆虫類,目視・任意採集,花に集まったり、⾶んでいたりする昆⾍を確認
13,昆虫類,スウィーピング,⾍取り網で昆⾍を捕獲
14,昆虫類,ビーティング,樹上の昆⾍を落として捕獲
15,昆虫類,ピットホールトラップ（ベイトトラップ）,地表徘徊性昆⾍をトラップで捕獲
16,昆虫類,バナナトラップ,腐敗したバナナに誘われた昆⾍を捕獲
17,昆虫類,ライトトラップ,夜⾏性の⾍を光で集めて捕獲
18,昆虫類,鳴き声調査,鳴き声で昆⾍を確認
19,昆虫類,林床の探索,落ち葉等に隠れている昆⾍を確認
20,昆虫類,定量採集,⽔⽣昆⾍を捕獲
21,両生類・爬虫類,直接観察法,両⽣類・爬⾍類を直接確認
22,両生類・爬虫類,捕獲調査,両⽣類・爬⾍類をトラップで捕獲
23,両生類・爬虫類,卵塊調査,両⽣類の卵塊をカウント
24,両生類・爬虫類,鳴き声調査,カエルの鳴き声で⽣息する種を確認
25,両生類・爬虫類,環境DNA分析,環境⽔中のDNAを分析し⽣物種の痕跡を推定
26,魚類,目視観察,⽬視により⿂類や産卵床を確認
27,魚類,捕獲調査,漁具を⽤いて⿂類等を採捕、確認
28,魚類,潜水観察,ダイバーが⽔中で⿂類の⽣息、回遊状況を⽬視、撮影
29,魚類,環境DNA分析,環境⽔中のDNAを分析し⽣物種の痕跡を推定
30,魚類,水中ドローン調査,⽔中ドローンで⽔中の状況を観察
31,底生生物,任意採集（定性採集）,⼿網などで底⽣⽣物を採取
32,底生生物,採泥調査,採泥器などで底質もろとも底⽣⽣物を採取
33,底生生物,コドラート法・枠取り法,コドラート内の底⽣⽣物を泥質もろとも採泥器、採集容器などで採取
34,植物（陸生）,コドラート法,調査枠内の植物群落の状況を調査
35,植物（陸生）,植物相調査,調査地に⽣育する植物の種類を記録
36,植物（陸生）,毎木調査,森林の樹⽊の種類や林内の構造を把握
37,植物（陸生）,リター・シードトラップ,落ち葉や種の種類や量を記録
38,植物（陸生）,衛星画像・航空写真を用いた調査,写真から植物の分布を把握
39,植物（陸生）,ドローン撮影調査,ドローンで上空から植物を確認
40,水生植物（陸水域）,観察法（目視、採取）,⽬視⼜は採取によって⽔⽣植物の種類を記録
41,水生植物（陸水域）,定量調査,⽔⽣植物採集器を使⽤し、⽔⽣植物の種類や量を記録
42,水生植物（陸水域）,コドラート法,調査区内の植物群落の状況を調査
43,水生植物（陸水域）,沈水・浮葉植物帯調査,沈⽔・浮葉植物の分布の幅を記録
44,水生植物（陸水域）,ドローン撮影調査,ドローンで上空から植物を確認
45,水生植物（海域）,ベルトトランセクト法（ライン調査）,ベルト状に設置した調査区内の植物群落の状況を調査
46,水生植物（海域）,定量的な標本採集,海草・海藻を採取して種類を調査
47,水生植物（海域）,衛星画像・航空写真を用いた調査,写真から藻場の分布を把握
48,水生植物（海域）,ドローン空撮調査,ドローンで上空から藻場の分布を把握
49,水生植物（海域）,水上・水中ドローン調査,⽔上・⽔中ドローンで藻場の状況を観察
50,水生植物（海域）,魚群探知機による音響測量調査,⿂群探知機による⾳響測量で藻場分布を推定
51,サンゴ,スポットチェック法,固定調査地点（スポット）において、潜⽔⽬視観察でサンゴの状態を確認
52,サンゴ,測点調査：コドラート法,正⽅形の調査枠（コドラート）において、潜⽔⽬視観察でサンゴの状態を確認
53,サンゴ,広域調査：マンタ法,観測者を調査船で曳航して、サンゴの分布状況を把握
54,サンゴ,測線調査：ベルトトランセクト法,測線に沿って潜⽔移動しながら、サンゴの分布状況を連続的に観察
55,サンゴ,潜水目視調査,ダイバーがサンゴに⽣息する⽣物やサンゴの⾷害状況を⽬視、撮影記録
56,サンゴ,ドローン空撮調査,ドローンで上空からサンゴの分布を把握
57,サンゴ,水上・水中ドローン調査,⽔上・⽔中ドローンでサンゴの状況を観察
58,プランクトン,採水・ネット捕捉調査,プランクトンを捕捉・分析
59,水質調査,水温,⽔温計で⽔温を測定
60,水質調査,水位,⽔位標で⽔位を測
61,水質調査,流速,流速を測定
62,水質調査,流量,流量を測定
63,水質調査,透視度／透明度,透視度/透明度を測定
64,水質調査,水色,⽔⾊計で⽔⾊を測定
65,水質調査,pH,pHを測定
66,水質調査,栄養塩濃度,栄養塩濃度を測定
67,底質調査,泥温,棒状温度計で泥温を測定
68,底質調査,外観（性状）,底質の状態(粒度)を観測･識別
69,底質調査,泥臭（臭気）,泥臭を観測
70,底質調査,泥色（色相）,泥⾊を観測
71,底質調査,酸化還元電位（ORP）,底質表層の酸化還元電位を測定
72,底質調査,全硫化物,底質中の硫化物を測定
73,物理環境・化学環境（湿地）,地下水位／地温調査,データロガー等を⽤いて地下⽔位や地温を測定
74,物理環境・化学環境（湿地）,土砂量調査,沈砂地等に溜まった⼟砂量を測定
75,物理環境・化学環境（砂浜）,汀線測量,測量により汀線の状況を把握
76,物理環境・化学環境（砂浜）,汀線観測,衛星画像により汀線の状況を把握
77,物理環境・化学環境（海域）,赤土堆積礁のSPSSの計測,透視度を想定し、底質中懸濁物質含量を算出
